MODEL,AÇIKLAMA,LİSTE FİYATI
KHA010000002,HAVA AYIRICI DN100 - KAYNAKLI,166.43793813041097
KHA012500002,HAVA AYIRICI DN125 - KAYNAKLI,270.224138169863
KHA015000002,HAVA AYIRICI DN150 - KAYNAKLI,278.49339932054795
KHA020000002,HAVA AYIRICI DN200 - KAYNAKLI,372.02184197260283
KHA025000002,HAVA AYIRICI DN250 - KAYNAKLI,346.0673084843837
KHA030000002,HAVA AYIRICI DN300 - KAYNAKLI,499.47803640986325
KTT005000004,TORTU TUTUCU DN50 - FLANŞLI,105.94101351728911
KTT006500004,TORTU TUTUCU DN65- FLANŞLI,114.68590562768566
KTT008000004,TORTU TUTUCU DN80 - FLANŞLI,142.76557662869502
KTT010000004,TORTU TUTUCU DN100 - FLANŞLI,157.91830031411678
KTT012500004,TORTU TUTUCU DN125 - FLANŞLI,268.006297581543
KTT015000004,TORTU TUTUCU DN150 - FLANŞLI,292.2950199832733
KTT020000004,TORTU TUTUCU DN200 - FLANŞLI,389.21220376178803
KTT025000004,TORTU TUTUCU DN250 - FLANŞLI,523.9411296235328
KTT030000004,TORTU TUTUCU DN300 - FLANŞLI,773.8960616153425
KTT005000002,TORTU TUTUCU DN50 - KAYNAKLI,79.77807191671234
KTT006500002,TORTU TUTUCU DN65- KAYNAKLI,85.03457181369863
